dataset,acceptance_rate,rep,parameter,method,estimate,batch_se,selected_controls,condition_number
simulated,0.315,10,omega_3,ZV-OLS-5,0.7348965933944854,3.345073726335861e-06,55,961025.0376575788
simulated,0.315,10,omega_3,ZV-Lasso-5,0.7353604978468493,4.389888835796003e-05,22,20228.542062386965
eurusd,0.32075,1,omega_1,MC,0.0853286537140937,0.0071988228878862,0,
eurusd,0.32075,1,omega_1,ZV-OLS-1,0.083246431006339,0.0062554768027242,3,10.013762963744432
eurusd,0.32075,1,omega_1,ZV-OLS-2,0.0780176649275821,0.0025075993420551,9,152.17349197621922
eurusd,0.32075,1,omega_1,ZV-OLS-5,0.0621234654867561,9.819301941337546e-05,55,45309283.87274803
eurusd,0.32075,1,omega_1,ZV-Lasso-5,0.0653820663099984,0.0001048289735371,39,44220.97421578351
eurusd,0.32075,1,omega_2,MC,0.0813298816906968,0.0055623676764404,0,
eurusd,0.32075,1,omega_2,ZV-OLS-1,0.0916344461627844,0.0022218349666533,3,10.013762963744432
eurusd,0.32075,1,omega_2,ZV-OLS-2,0.0886446510970694,0.0006613708960798,9,152.17349197621922
eurusd,0.32075,1,omega_2,ZV-OLS-5,0.0946162608757098,4.951710515733837e-05,55,45309283.87274803
eurusd,0.32075,1,omega_2,ZV-Lasso-5,0.0887975720280931,0.0002282520724688,28,72754.92461285563
eurusd,0.32075,1,omega_3,MC,0.4706885515769264,0.037629052726587,0,
eurusd,0.32075,1,omega_3,ZV-OLS-1,0.4728164165207256,0.0339353436012288,3,10.013762963744432
eurusd,0.32075,1,omega_3,ZV-OLS-2,0.5039288025866662,0.0127513750972513,9,152.17349197621922
eurusd,0.32075,1,omega_3,ZV-OLS-5,0.5816942189442389,0.0004696496864994,55,45309283.87274803
eurusd,0.32075,1,omega_3,ZV-Lasso-5,0.5823781503144906,0.0005137663940992,42,281928.9921859082
eurusd,0.3215,2,omega_1,MC,0.0806714857735634,0.0052910205917106,0,
eurusd,0.3215,2,omega_1,ZV-OLS-1,0.0788616207842561,0.0047096552652651,3,10.920145981590831
eurusd,0.3215,2,omega_1,ZV-OLS-2,0.070701849080036,0.0018783395743392,9,164.96727749429428
eurusd,0.3215,2,omega_1,ZV-OLS-5,0.0624922141129975,4.4132178868323605e-05,55,32763170.41562308
eurusd,0.3215,2,omega_1,ZV-Lasso-5,0.0697093170467536,6.941494207013541e-05,38,72066.69336508917
eurusd,0.3215,2,omega_2,MC,0.0829171634360637,0.0051464298163404,0,
eurusd,0.3215,2,omega_2,ZV-OLS-1,0.0931397870368875,0.0021761349869562,3,10.920145981590831
eurusd,0.3215,2,omega_2,ZV-OLS-2,0.0892458429434423,0.0006470651835759,9,164.96727749429428
eurusd,0.3215,2,omega_2,ZV-OLS-5,0.0949722013966538,1.8581774609106516e-05,55,32763170.41562308
eurusd,0.3215,2,omega_2,ZV-Lasso-5,0.0922969083201242,0.0001337572656862,23,28615.586961106423
eurusd,0.3215,2,omega_3,MC,0.493094894485301,0.0272415509024039,0,
eurusd,0.3215,2,omega_3,ZV-OLS-1,0.4936204307000755,0.0254984259539597,3,10.920145981590831
eurusd,0.3215,2,omega_3,ZV-OLS-2,0.541675362060819,0.0094036860287733,9,164.96727749429428
eurusd,0.3215,2,omega_3,ZV-OLS-5,0.5791706107571246,0.0002156107487747,55,32763170.41562308
eurusd,0.3215,2,omega_3,ZV-Lasso-5,0.5541837343791078,0.0003152912606777,43,857884.042713034
eurusd,0.3155,3,omega_1,MC,0.0850525693511729,0.0104835058272161,0,
